number,group,image,audio,passage,question_text,o1,o2,o3,o4,correct,img_url,audio_url
140,part_6_139_142,,,"<div class=""alert alert-warning"">
<p style=""text-align: center"">
<strong>Outbound Sales Lead Specialist/Telemarketer</strong>
</p>
<p style=""text-align: center"">Location: Atlanta, GA</p>
<p style=""text-align: center"">Job Code: 3766</p>
<p style=""text-align: center""># of opening: 4</p>
<p>
                          The Sales Lead Specialist will place outbound calls to
                          _____ (139) customers seeking to purchase various
                          services such as insurance, tax help, financial help,
                          telecommunications, or transportation. They will also
                          call on leaders from our existing customer base. Cold
                          calls are required. 
                        </p>
<p>
                          You will work directly with customers via the
                          telephone and e-mail to describe products and services
                          in order to persuade potential and current customers
                          to purchase new products and services. The job will
                          also require you to educate customers on product and
                          service offerings. _____ (140) There is also a minimum
                          requirement for monthly sales that is set at $7,500 in
                          net revenue. _____ (141), the job calls for all
                          employees to continually be taking product education
                          course that will help you better serve our customers. 
                        </p>
<p>
                          To be eligible for the position, you must have one or
                          more years in telesales, strong customer service
                          skills, and superior closing skills. 
                        </p>
<p>
                          If you feel you _____ (142) these requirements and are
                          looking for a lucrative exciting experience, please
                          click below. 
                        </p>
</div>","Outbound Sales Lead Specialist/Telemarketer

Location: Atlanta, GA
Job Code: 3766
# of opening: 4

                          The Sales Lead Specialist will place outbound calls to
                          _____ (139) customers seeking to purchase various
                          services such as insurance, tax help, financial help,
                          telecommunications, or transportation. They will also
                          call on leaders from our existing customer base. Cold
                          calls are required. 
                        

                          You will work directly with customers via the
                          telephone and e-mail to describe products and services
                          in order to persuade potential and current customers
                          to purchase new products and services. The job will
                          also require you to educate customers on product and
                          service offerings. _____ (140) There is also a minimum
                          requirement for monthly sales that is set at $7,500 in
                          net revenue. _____ (141), the job calls for all
                          employees to continually be taking product education
                          course that will help you better serve our customers. 
                        

                          To be eligible for the position, you must have one or
                          more years in telesales, strong customer service
                          skills, and superior closing skills. 
                        

                          If you feel you _____ (142) these requirements and are
                          looking for a lucrative exciting experience, please
                          click below.","The more you purchase, the more opportunity you'll have for advancement.",This managerial position will require an organized and highly motivated individual.,"If you could help find your replacement, it would be much an appreciated.",It will be crucial for you to place a minimum of 150 outbound calls each day.,D,,
141,part_6_139_142,,,"<div class=""alert alert-warning"">
<p style=""text-align: center"">
<strong>Outbound Sales Lead Specialist/Telemarketer</strong>
</p>
<p style=""text-align: center"">Location: Atlanta, GA</p>
<p style=""text-align: center"">Job Code: 3766</p>
<p style=""text-align: center""># of opening: 4</p>
<p>
                          The Sales Lead Specialist will place outbound calls to
                          _____ (139) customers seeking to purchase various
                          services such as insurance, tax help, financial help,
                          telecommunications, or transportation. They will also
                          call on leaders from our existing customer base. Cold
                          calls are required. 
                        </p>
<p>
                          You will work directly with customers via the
                          telephone and e-mail to describe products and services
                          in order to persuade potential and current customers
                          to purchase new products and services. The job will
                          also require you to educate customers on product and
                          service offerings. _____ (140) There is also a minimum
                          requirement for monthly sales that is set at $7,500 in
                          net revenue. _____ (141), the job calls for all
                          employees to continually be taking product education
                          course that will help you better serve our customers. 
                        </p>
<p>
                          To be eligible for the position, you must have one or
                          more years in telesales, strong customer service
                          skills, and superior closing skills. 
                        </p>
<p>
                          If you feel you _____ (142) these requirements and are
                          looking for a lucrative exciting experience, please
                          click below. 
                        </p>
</div>","Outbound Sales Lead Specialist/Telemarketer

Location: Atlanta, GA
Job Code: 3766
# of opening: 4

                          The Sales Lead Specialist will place outbound calls to
                          _____ (139) customers seeking to purchase various
                          services such as insurance, tax help, financial help,
                          telecommunications, or transportation. They will also
                          call on leaders from our existing customer base. Cold
                          calls are required. 
                        

                          You will work directly with customers via the
                          telephone and e-mail to describe products and services
                          in order to persuade potential and current customers
                          to purchase new products and services. The job will
                          also require you to educate customers on product and
                          service offerings. _____ (140) There is also a minimum
                          requirement for monthly sales that is set at $7,500 in
                          net revenue. _____ (141), the job calls for all
                          employees to continually be taking product education
                          course that will help you better serve our customers. 
                        

                          To be eligible for the position, you must have one or
                          more years in telesales, strong customer service
                          skills, and superior closing skills. 
                        

                          If you feel you _____ (142) these requirements and are
                          looking for a lucrative exciting experience, please
                          click below.",Actually,However,Additionally,Therefore,C,,
142,part_6_139_142,,,"<div class=""alert alert-warning"">
<p style=""text-align: center"">
<strong>Outbound Sales Lead Specialist/Telemarketer</strong>
</p>
<p style=""text-align: center"">Location: Atlanta, GA</p>
<p style=""text-align: center"">Job Code: 3766</p>
<p style=""text-align: center""># of opening: 4</p>
<p>
                          The Sales Lead Specialist will place outbound calls to
                          _____ (139) customers seeking to purchase various
                          services such as insurance, tax help, financial help,
                          telecommunications, or transportation. They will also
                          call on leaders from our existing customer base. Cold
                          calls are required. 
                        </p>
<p>
                          You will work directly with customers via the
                          telephone and e-mail to describe products and services
                          in order to persuade potential and current customers
                          to purchase new products and services. The job will
                          also require you to educate customers on product and
                          service offerings. _____ (140) There is also a minimum
                          requirement for monthly sales that is set at $7,500 in
                          net revenue. _____ (141), the job calls for all
                          employees to continually be taking product education
                          course that will help you better serve our customers. 
                        </p>
<p>
                          To be eligible for the position, you must have one or
                          more years in telesales, strong customer service
                          skills, and superior closing skills. 
                        </p>
<p>
                          If you feel you _____ (142) these requirements and are
                          looking for a lucrative exciting experience, please
                          click below. 
                        </p>
</div>","Outbound Sales Lead Specialist/Telemarketer

Location: Atlanta, GA
Job Code: 3766
# of opening: 4

                          The Sales Lead Specialist will place outbound calls to
                          _____ (139) customers seeking to purchase various
                          services such as insurance, tax help, financial help,
                          telecommunications, or transportation. They will also
                          call on leaders from our existing customer base. Cold
                          calls are required. 
                        

                          You will work directly with customers via the
                          telephone and e-mail to describe products and services
                          in order to persuade potential and current customers
                          to purchase new products and services. The job will
                          also require you to educate customers on product and
                          service offerings. _____ (140) There is also a minimum
                          requirement for monthly sales that is set at $7,500 in
                          net revenue. _____ (141), the job calls for all
                          employees to continually be taking product education
                          course that will help you better serve our customers. 
                        

                          To be eligible for the position, you must have one or
                          more years in telesales, strong customer service
                          skills, and superior closing skills. 
                        

                          If you feel you _____ (142) these requirements and are
                          looking for a lucrative exciting experience, please
                          click below.",meet,to meet,meeting,met,A,,
143,part_6_143_146,,,"<div class=""alert alert-warning"">
<p>From: James Jones, Excecutive Manager</p>
<p>To: Sales Agents</p>
<p>Date: July 15</p>
<p>Subject: Policy Change</p>
<p> </p>
<p>Dear Sales Agents,</p>
<p>
                          There has been a recent change to our reimbursement
                          policy. In the past, you simply had to pay out of
                          pocket first then provide your receipts after renting
                          vehicles, taking business trips or _____ (143) other
                          business expenses. _____ (144), now you will be
                          required to fill out an application which will need to
                          be approved by the accounting department first. _____
                          (145) If you spend beyond the amount given in the
                          card, you will have to pay out of your own pocket and
                          will not be reimbursed for that. 
                        </p>
<p>
                          Please read the attachment to get further details on
                          what expenses can and cannot be _____ (146) by the
                          company. 
                        </p>
</div>","From: James Jones, Excecutive Manager
To: Sales Agents
Date: July 15
Subject: Policy Change
 
Dear Sales Agents,

                          There has been a recent change to our reimbursement
                          policy. In the past, you simply had to pay out of
                          pocket first then provide your receipts after renting
                          vehicles, taking business trips or _____ (143) other
                          business expenses. _____ (144), now you will be
                          required to fill out an application which will need to
                          be approved by the accounting department first. _____
                          (145) If you spend beyond the amount given in the
                          card, you will have to pay out of your own pocket and
                          will not be reimbursed for that. 
                        

                          Please read the attachment to get further details on
                          what expenses can and cannot be _____ (146) by the
                          company.",incur,incurred,incurring,to incur,C,,
144,part_6_143_146,,,"<div class=""alert alert-warning"">
<p>From: James Jones, Excecutive Manager</p>
<p>To: Sales Agents</p>
<p>Date: July 15</p>
<p>Subject: Policy Change</p>
<p> </p>
<p>Dear Sales Agents,</p>
<p>
                          There has been a recent change to our reimbursement
                          policy. In the past, you simply had to pay out of
                          pocket first then provide your receipts after renting
                          vehicles, taking business trips or _____ (143) other
                          business expenses. _____ (144), now you will be
                          required to fill out an application which will need to
                          be approved by the accounting department first. _____
                          (145) If you spend beyond the amount given in the
                          card, you will have to pay out of your own pocket and
                          will not be reimbursed for that. 
                        </p>
<p>
                          Please read the attachment to get further details on
                          what expenses can and cannot be _____ (146) by the
                          company. 
                        </p>
</div>","From: James Jones, Excecutive Manager
To: Sales Agents
Date: July 15
Subject: Policy Change
 
Dear Sales Agents,

                          There has been a recent change to our reimbursement
                          policy. In the past, you simply had to pay out of
                          pocket first then provide your receipts after renting
                          vehicles, taking business trips or _____ (143) other
                          business expenses. _____ (144), now you will be
                          required to fill out an application which will need to
                          be approved by the accounting department first. _____
                          (145) If you spend beyond the amount given in the
                          card, you will have to pay out of your own pocket and
                          will not be reimbursed for that. 
                        

                          Please read the attachment to get further details on
                          what expenses can and cannot be _____ (146) by the
                          company.",However,Therefore,Furthermore,Since,A,,
145,part_6_143_146,,,"<div class=""alert alert-warning"">
<p>From: James Jones, Excecutive Manager</p>
<p>To: Sales Agents</p>
<p>Date: July 15</p>
<p>Subject: Policy Change</p>
<p> </p>
<p>Dear Sales Agents,</p>
<p>
                          There has been a recent change to our reimbursement
                          policy. In the past, you simply had to pay out of
                          pocket first then provide your receipts after renting
                          vehicles, taking business trips or _____ (143) other
                          business expenses. _____ (144), now you will be
                          required to fill out an application which will need to
                          be approved by the accounting department first. _____
                          (145) If you spend beyond the amount given in the
                          card, you will have to pay out of your own pocket and
                          will not be reimbursed for that. 
                        </p>
<p>
                          Please read the attachment to get further details on
                          what expenses can and cannot be _____ (146) by the
                          company. 
                        </p>
</div>","From: James Jones, Excecutive Manager
To: Sales Agents
Date: July 15
Subject: Policy Change
 
Dear Sales Agents,

                          There has been a recent change to our reimbursement
                          policy. In the past, you simply had to pay out of
                          pocket first then provide your receipts after renting
                          vehicles, taking business trips or _____ (143) other
                          business expenses. _____ (144), now you will be
                          required to fill out an application which will need to
                          be approved by the accounting department first. _____
                          (145) If you spend beyond the amount given in the
                          card, you will have to pay out of your own pocket and
                          will not be reimbursed for that. 
                        

                          Please read the attachment to get further details on
                          what expenses can and cannot be _____ (146) by the
                          company.",They will not approve any card not authorized by a bank. ,You will have to spend from your own credit card.,Then you will be provided with a company card which holds limited funds. ,They must decide whether our budget allows for our expenses.,C,,
146,part_6_143_146,,,"<div class=""alert alert-warning"">
<p>From: James Jones, Excecutive Manager</p>
<p>To: Sales Agents</p>
<p>Date: July 15</p>
<p>Subject: Policy Change</p>
<p> </p>
<p>Dear Sales Agents,</p>
<p>
                          There has been a recent change to our reimbursement
                          policy. In the past, you simply had to pay out of
                          pocket first then provide your receipts after renting
                          vehicles, taking business trips or _____ (143) other
                          business expenses. _____ (144), now you will be
                          required to fill out an application which will need to
                          be approved by the accounting department first. _____
                          (145) If you spend beyond the amount given in the
                          card, you will have to pay out of your own pocket and
                          will not be reimbursed for that. 
                        </p>
<p>
                          Please read the attachment to get further details on
                          what expenses can and cannot be _____ (146) by the
                          company. 
                        </p>
</div>","From: James Jones, Excecutive Manager
To: Sales Agents
Date: July 15
Subject: Policy Change
 
Dear Sales Agents,

                          There has been a recent change to our reimbursement
                          policy. In the past, you simply had to pay out of
                          pocket first then provide your receipts after renting
                          vehicles, taking business trips or _____ (143) other
                          business expenses. _____ (144), now you will be
                          required to fill out an application which will need to
                          be approved by the accounting department first. _____
                          (145) If you spend beyond the amount given in the
                          card, you will have to pay out of your own pocket and
                          will not be reimbursed for that. 
                        

                          Please read the attachment to get further details on
                          what expenses can and cannot be _____ (146) by the
                          company.",certain,acknowledged,established,approved,D,,
147,part_7_147_148,part_7_147_148.png,,"<div class=""alert alert-warning"">
<p>
<img height=""859"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image.png"" width=""687""/>
</p>
</div>",What does Ms. Shalib plan to do on May 1?, Call the theater , Request a refund , Pay her credit card bill , Attend a musical event,D,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_147_148.png,
148,part_7_147_148,,,"<div class=""alert alert-warning"">
<p>
<img height=""859"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image.png"" width=""687""/>
</p>
</div>",What must Ms. Shalib bring with her?,A credit card,Paper tickets ,A copy of a receipt ,A form of identification,C,,
149,part_7_149_151,part_7_149_151.png,,"<div class=""alert alert-warning"">
<p>
<img height=""857"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image1.png"" width=""733""/>
</p>
</div>",What most likely is Omicron Premier Services?,A hospital,A doctor’s office,A shipping company,A medical supply company ,D,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_149_151.png,
150,part_7_149_151,,,"<div class=""alert alert-warning"">
<p>
<img height=""857"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image1.png"" width=""733""/>
</p>
</div>","According to the invoice, what will happen on April
                            3?",An invoice will be revised,An order will be placed. ,A payment will be refunded. ,A shipment will be delivered. ,D,,
151,part_7_149_151,,,"<div class=""alert alert-warning"">
<p>
<img height=""857"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image1.png"" width=""733""/>
</p>
</div>",What is indicated about the gloves?,They are out of stock at the moment. ,They are available in one size only. ,They are no longer manufactured. ,They are the wrong brand,A,,
152,part_7_152_153,part_7_152_153.png,,"<div class=""alert alert-warning"">
<p>
<img height=""496"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image2.png"" width=""600""/>
</p>
</div>",What problem does Mr. Barilla have?,He feels sick and cannot work. ,He will not be able to attend a scheduled dinner.,He does not know how to divide a large room.,He is unable to do a job by himself,D,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_152_153.png,
153,part_7_152_153,,,"<div class=""alert alert-warning"">
<p>
<img height=""496"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image2.png"" width=""600""/>
</p>
</div>",Why did Mr. Barilla send the text message to Maria?,To have her reschedule a meeting at a hotel,To cancel an event in the hotel ballroom,To ask her to make a call,To request special equipment ,C,,
154,part_7_154_155,part_7_154_155.png,,"<div class=""alert alert-warning"">
<p>
<img height=""645"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image3.png"" width=""728""/>
</p>
</div>",What are guests asked to do?,Return a completed form ,Leave their keys at the front desk,Tell their friends about the inn,Recommend staff members for awards ,A,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_154_155.png,
155,part_7_154_155,,,"<div class=""alert alert-warning"">
<p>
<img height=""645"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image3.png"" width=""728""/>
</p>
</div>",What is suggested about Ms. Haataja?,She is an experienced cook. ,She would like a job in the hotel industry. ,She frequently travels on business. ,She would like to discuss her stay with hotel staff. ,D,,
156,part_7_156_157,part_7_156_157.png,,"<div class=""alert alert-warning"">
<p>
<img height=""656"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image4.png"" width=""720""/>
</p>
</div>","At 1:56 P.M., what does Mr. Schlupp most likely
                            mean when he writes, “Here we go”?",He is about to start a meeting,He is surprised by Ms. Larkin's request.,He has determined the cause of a problem,He would like to invite Ms. Larkin to a meeting,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_156_157.png,
157,part_7_156_157,,,"<div class=""alert alert-warning"">
<p>
<img height=""656"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image4.png"" width=""720""/>
</p>
</div>",What is probably true about Ms. Larkin?,She has recently received a new computer. ,She does not have permission to attend the meeting. ,She often participates in conference calls. ,She will not need to speak during the training session. ,D,,
158,part_7_158_160,part_7_158_160.png,,"<div class=""alert alert-warning"">
<p>
<img height=""533"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image5.png"" width=""720""/>
</p>
</div>",What is one purpose of the memo?,To announce the release of a quarterly expense report,To alert employees to a budget concern,To inform staff of an error in a document,To request feedback on a departmental procedure ,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_158_160.png,
159,part_7_158_160,,,"<div class=""alert alert-warning"">
<p>
<img height=""533"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image5.png"" width=""720""/>
</p>
</div>",What are employees advised to do?,Make black-and-white copies of basic documents,Tell coworkers about upcoming social events,Distribute meeting notes by e-mail ,Report broken copy machines to their supervisors,A,,
160,part_7_158_160,,,"<div class=""alert alert-warning"">
<p>
<img height=""533"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image5.png"" width=""720""/>
</p>
</div>","In which of the positions marked [1], [2], [3] and
                            [4] does the following sentence best belong?
                            “Publicity flyers intended for clients are one
                            obvious example.""",[1],[2],[3],[4],D,,
161,part_7_161_164,,,"<div class=""alert alert-warning"">
<p>
                          Questions 161-164 refer to the following Web site.
                        </p>
<p> </p>
<p style=""text-align: center"">
<strong>Pondress </strong>
</p>
<p style=""text-align: center"">
<strong>Because Your Opinion Matters</strong>
</p>
<p>
                          The Pondress Corporation has been conducting public
                          opinion polls on current issues for more than three
                          decades. All our polls are based on telephone
                          interviews with adults 18 years of age or older who
                          live in specific polling areas. To ensure that every
                          adult living within a polling area has an equal chance
                          of being contacted, potential interviewees are
                          selected by a computer that randomly generates phone
                          numbers from all working exchanges.
                        </p>
<p>
                          To find out what people think about what is happening
                          in the world these days, visit our Latest Polls page.
                          New polls are published weekly, and all polls are
                          stored and accessible online. If you prefer to search
                          for polls by subject, go to our Subject Guide page. If
                          you would like to reproduce tables, charts, or any
                          other graphics created by Pondress, go to the Contact
                          Us page and click the link for our Permissions
                          Department. There you will find an easy-to-use online
                          form to fill out with details about how and where you
                          intend to use the information. In most cases, a
                          response is provided within 24 hours of submission.
                        </p>
</div>","In paragraph 1, line 1, the word ""current"" is
                            closest in meaning to",moving,customary,contemporary,momentary,C,,
162,part_7_161_164,,,"<div class=""alert alert-warning"">
<p>
                          Questions 161-164 refer to the following Web site.
                        </p>
<p> </p>
<p style=""text-align: center"">
<strong>Pondress </strong>
</p>
<p style=""text-align: center"">
<strong>Because Your Opinion Matters</strong>
</p>
<p>
                          The Pondress Corporation has been conducting public
                          opinion polls on current issues for more than three
                          decades. All our polls are based on telephone
                          interviews with adults 18 years of age or older who
                          live in specific polling areas. To ensure that every
                          adult living within a polling area has an equal chance
                          of being contacted, potential interviewees are
                          selected by a computer that randomly generates phone
                          numbers from all working exchanges.
                        </p>
<p>
                          To find out what people think about what is happening
                          in the world these days, visit our Latest Polls page.
                          New polls are published weekly, and all polls are
                          stored and accessible online. If you prefer to search
                          for polls by subject, go to our Subject Guide page. If
                          you would like to reproduce tables, charts, or any
                          other graphics created by Pondress, go to the Contact
                          Us page and click the link for our Permissions
                          Department. There you will find an easy-to-use online
                          form to fill out with details about how and where you
                          intend to use the information. In most cases, a
                          response is provided within 24 hours of submission.
                        </p>
</div>",What is NOT mentioned about poll participants?,They are randomly selected.,They are interviewed in groups. ,They are interviewed over the phone. ,They are adults,B,,
163,part_7_161_164,,,"<div class=""alert alert-warning"">
<p>
                          Questions 161-164 refer to the following Web site.
                        </p>
<p> </p>
<p style=""text-align: center"">
<strong>Pondress </strong>
</p>
<p style=""text-align: center"">
<strong>Because Your Opinion Matters</strong>
</p>
<p>
                          The Pondress Corporation has been conducting public
                          opinion polls on current issues for more than three
                          decades. All our polls are based on telephone
                          interviews with adults 18 years of age or older who
                          live in specific polling areas. To ensure that every
                          adult living within a polling area has an equal chance
                          of being contacted, potential interviewees are
                          selected by a computer that randomly generates phone
                          numbers from all working exchanges.
                        </p>
<p>
                          To find out what people think about what is happening
                          in the world these days, visit our Latest Polls page.
                          New polls are published weekly, and all polls are
                          stored and accessible online. If you prefer to search
                          for polls by subject, go to our Subject Guide page. If
                          you would like to reproduce tables, charts, or any
                          other graphics created by Pondress, go to the Contact
                          Us page and click the link for our Permissions
                          Department. There you will find an easy-to-use online
                          form to fill out with details about how and where you
                          intend to use the information. In most cases, a
                          response is provided within 24 hours of submission.
                        </p>
</div>","What is indicated about the Pondress
                            Corporation?",It updates its Web site every week,It has offices in multiple locations.,It is searching for new employees. ,It publishes nonfiction books.,A,,
164,part_7_161_164,,,"<div class=""alert alert-warning"">
<p>
                          Questions 161-164 refer to the following Web site.
                        </p>
<p> </p>
<p style=""text-align: center"">
<strong>Pondress </strong>
</p>
<p style=""text-align: center"">
<strong>Because Your Opinion Matters</strong>
</p>
<p>
                          The Pondress Corporation has been conducting public
                          opinion polls on current issues for more than three
                          decades. All our polls are based on telephone
                          interviews with adults 18 years of age or older who
                          live in specific polling areas. To ensure that every
                          adult living within a polling area has an equal chance
                          of being contacted, potential interviewees are
                          selected by a computer that randomly generates phone
                          numbers from all working exchanges.
                        </p>
<p>
                          To find out what people think about what is happening
                          in the world these days, visit our Latest Polls page.
                          New polls are published weekly, and all polls are
                          stored and accessible online. If you prefer to search
                          for polls by subject, go to our Subject Guide page. If
                          you would like to reproduce tables, charts, or any
                          other graphics created by Pondress, go to the Contact
                          Us page and click the link for our Permissions
                          Department. There you will find an easy-to-use online
                          form to fill out with details about how and where you
                          intend to use the information. In most cases, a
                          response is provided within 24 hours of submission.
                        </p>
</div>","How can readers get permission to reproduce
                            graphics?",By sending an e-mail,By making a phone call ,By submitting a paper form,By providing information online,D,,
165,part_7_165_167,part_7_165_167.png,,"<div class=""alert alert-warning"">
<p>
<img height=""768"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image52.png"" width=""999""/>
</p>
</div>",What is the reason for the change?,The company owners want to save money on labor.,A new recycling center opened near the business.,The local government changed its regulations.,Environmentalists in the area requested it. ,D,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_165_167.png,
166,part_7_165_167,,,"<div class=""alert alert-warning"">
<p>
<img height=""768"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image52.png"" width=""999""/>
</p>
</div>","What can be inferred about Unsworthy
                            Manufacturing?",It has good relations with local authorities.,It already recycles its plastic industrial waste.,It recently increased its workforce.,It updates its environmental policy regularly.,B,,
167,part_7_165_167,,,"<div class=""alert alert-warning"">
<p>
<img height=""768"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image52.png"" width=""999""/>
</p>
</div>",What should supervisors do next week?,Attend a workshop on new procedures,Update the company's website,Make room for new waste receptacles,Inform their teams of the changes,A,,
168,part_7_168_171,part_7_168_171.png,,"<div class=""alert alert-warning"">
<p>
<img height=""673"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image7.png"" width=""720""/>
</p>
</div>",Why was the letter written?,To describe a policy change,To introduce a new grocery store,To advertise a market opening,To announce election results,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_168_171.png,
169,part_7_168_171,,,"<div class=""alert alert-warning"">
<p>
<img height=""673"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image7.png"" width=""720""/>
</p>
</div>",What is indicated about Ms. Hammer?,She is a vendor at a farmers' market,She represents other farmers.,She owns a family-run farm.,She is the mayor of Normanville,B,,
170,part_7_168_171,,,"<div class=""alert alert-warning"">
<p>
<img height=""673"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image7.png"" width=""720""/>
</p>
</div>",What problem is mentioned?,Inadequate parking spots,Unfair product pricing,Lack of quality control,Inclement weather,A,,
171,part_7_168_171,,,"<div class=""alert alert-warning"">
<p>
<img height=""673"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image7.png"" width=""720""/>
</p>
</div>","What is NOT mentioned as a benefit of shopping at
                            the venue?",A boost for the local economy,Competitive prices,Healthy produce,Longer opening hours,D,,
172,part_7_172_175,part_7_172_175.png,,"<div class=""alert alert-warning"">
<p>
<img height=""497"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image8.png"" width=""960""/>
</p>
</div>",What is the purpose of the article?,To advertise an event for the holidays,To warn citizens of increased crimes,To informed people about lost and found items,To give information about an auction,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_172_175.png,
173,part_7_172_175,,,"<div class=""alert alert-warning"">
<p>
<img height=""497"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image8.png"" width=""960""/>
</p>
</div>",What is suggested about Jean King?,She searches for lost items,She works for the city,She is an intern,She manages the community center,B,,
174,part_7_172_175,,,"<div class=""alert alert-warning"">
<p>
<img height=""497"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image8.png"" width=""960""/>
</p>
</div>",What is suggested about the lost items?,They are not kept indefinitely at the center,They are usually claimed by their owners,They are destroyed when unclaimed,They are generally new items,A,,
175,part_7_172_175,,,"<div class=""alert alert-warning"">
<p>
<img height=""497"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image8.png"" width=""960""/>
</p>
</div>","In which of the positions marked [1], [2], [3] and
                            [4] does the following sentences best belong?'Many
                            people do come to claim their missing items, but a
                            vast majority is still left unclaimed'.",[1],[2],[3],[4],C,,
176,part_7_176_180,part_7_176_180_1.png part_7_176_180_2.png,,"<div class=""alert alert-warning"">
<p>
<img height=""499"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image9.png"" width=""960""/>
</p>
<p>
<img height=""713"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image10.png"" width=""960""/>
</p>
</div>",What problem is Tech Life facing?,A shortage of employees,An urgent audit,A decline in profitability,A potential competitor,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_176_180_1.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_176_180_2.png,
177,part_7_176_180,,,"<div class=""alert alert-warning"">
<p>
<img height=""499"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image9.png"" width=""960""/>
</p>
<p>
<img height=""713"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image10.png"" width=""960""/>
</p>
</div>",What is mentioned about the shareholders?,They are allowed to share financial information,They will hold a meeting next week,They are demanding more dividends,They agreed on the appointment of a new leader,D,,
178,part_7_176_180,,,"<div class=""alert alert-warning"">
<p>
<img height=""499"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image9.png"" width=""960""/>
</p>
<p>
<img height=""713"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image10.png"" width=""960""/>
</p>
</div>","In the article, the word ""optimize"" in paragraph 2,
                            line 6, is closest in meaning to",merge,improve,analyze,maintain,B,,
179,part_7_176_180,,,"<div class=""alert alert-warning"">
<p>
<img height=""499"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image9.png"" width=""960""/>
</p>
<p>
<img height=""713"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image10.png"" width=""960""/>
</p>
</div>",Where did Ms Dyer work previously?,In Harrisburg,In Dallas,In New York,In San Francisco,D,,
180,part_7_176_180,,,"<div class=""alert alert-warning"">
<p>
<img height=""499"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image9.png"" width=""960""/>
</p>
<p>
<img height=""713"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image10.png"" width=""960""/>
</p>
</div>",What is Mr. Cross asked to do?,Teach a training course,Meet new employees,Attend a stockholders' meeting,Hire new managers,B,,
